n,sigma_minus_n,factorization
346,1.50867,"2 × 173"
347,1.00288,"347"
348,2.41379,"2^2 × 3 × 29"
349,1.00287,"349"
350,2.12571,"2 × 5^2 × 7"
351,1.59544,"3^3 × 13"
352,2.14773,"2^5 × 11"
353,1.00283,"353"
354,2.0339,"2 × 3 × 59"
355,1.2169,"5 × 71"
356,1.76966,"2^2 × 89"
357,1.61345,"3 × 7 × 17"
358,1.50838,"2 × 179"
359,1.00279,"359"
360,3.25,"2^3 × 3^2 × 5"
361,1.0554,"19^2"
362,1.50829,"2 × 181"
363,1.46556,"3 × 11^2"
364,2.15385,"2^2 × 7 × 13"
365,1.21644,"5 × 73"
366,2.03279,"2 × 3 × 61"
367,1.00272,"367"
368,2.02174,"2^4 × 23"
369,1.47967,"3^2 × 41"
370,1.84865,"2 × 5 × 37"
371,1.16442,"7 × 53"
372,2.4086,"2^2 × 3 × 31"
373,1.00268,"373"
374,1.73262,"2 × 11 × 17"
375,1.664,"3 × 5^3"
376,1.91489,"2^3 × 47"
377,1.11406,"13 × 29"
378,2.53968,"2 × 3^3 × 7"
379,1.00264,"379"
380,2.21053,"2^2 × 5 × 19"
381,1.34383,"3 × 127"
382,1.50785,"2 × 191"
383,1.00261,"383"
384,2.65625,"2^7 × 3"
385,1.4961,"5 × 7 × 11"
386,1.50777,"2 × 193"
387,1.47804,"3^2 × 43"
388,1.76804,"2^2 × 97"
389,1.00257,"389"
390,2.58462,"2 × 3 × 5 × 13"
391,1.10486,"17 × 23"
392,2.18112,"2^3 × 7^2"
393,1.34351,"3 × 131"
394,1.50761,"2 × 197"
395,1.21519,"5 × 79"
396,2.75758,"2^2 × 3^2 × 11"
397,1.00252,"397"
398,1.50754,"2 × 199"
399,1.60401,"3 × 7 × 19"
400,2.4025,"2^4 × 5^2"
401,1.00249,"401"
402,2.02985,"2 × 3 × 67"
403,1.11166,"13 × 31"
404,1.76733,"2^2 × 101"
405,1.79259,"3^4 × 5"
406,1.7734,"2 × 7 × 29"
407,1.12039,"11 × 37"
408,2.64706,"2^3 × 3 × 17"
409,1.00244,"409"
410,1.8439,"2 × 5 × 41"
411,1.34307,"3 × 137"
412,1.76699,"2^2 × 103"
413,1.16223,"7 × 59"
414,2.26087,"2 × 3^2 × 23"
415,1.21446,"5 × 83"
416,2.12019,"2^5 × 13"
417,1.34293,"3 × 139"
418,1.72249,"2 × 11 × 19"
419,1.00239,"419"
420,3.2,"2^2 × 3 × 5 × 7"
421,1.00238,"421"
422,1.50711,"2 × 211"
423,1.47518,"3^2 × 47"
424,1.91038,"2^3 × 53"
425,1.31294,"5^2 × 17"
426,2.02817,"2 × 3 × 71"
427,1.16159,"7 × 61"
428,1.76636,"2^2 × 107"
429,1.56643,"3 × 11 × 13"
430,1.84186,"2 × 5 × 43"
431,1.00232,"431"
432,2.87037,"2^4 × 3^3"
433,1.00231,"433"
434,1.76959,"2 × 7 × 31"
435,1.65517,"3 × 5 × 29"
436,1.76606,"2^2 × 109"
437,1.0984,"19 × 23"
438,2.0274,"2 × 3 × 73"
439,1.00228,"439"
440,2.45455,"2^3 × 5 × 11"
441,1.68027,"3^2 × 7^2"
442,1.71041,"2 × 13 × 17"
443,1.00226,"443"
444,2.3964,"2^2 × 3 × 37"
445,1.21348,"5 × 89"
446,1.50673,"2 × 223"
447,1.34228,"3 × 149"
448,2.26786,"2^6 × 7"
449,1.00223,"449"
450,2.68667,"2 × 3^2 × 5^2"
451,1.11752,"11 × 41"
452,1.76549,"2^2 × 113"
453,1.34216,"3 × 151"
454,1.50661,"2 × 227"
455,1.47692,"5 × 7 × 13"
456,2.63158,"2^3 × 3 × 19"
457,1.00219,"457"
458,1.50655,"2 × 229"
459,1.56863,"3^3 × 17"
460,2.1913,"2^2 × 5 × 23"
461,1.00217,"461"
462,2.49351,"2 × 3 × 7 × 11"
463,1.00216,"463"
464,2.00431,"2^4 × 29"
465,1.65161,"3 × 5 × 31"
466,1.50644,"2 × 233"
467,1.00214,"467"
468,2.72222,"2^2 × 3^2 × 13"
469,1.15991,"7 × 67"
470,1.8383,"2 × 5 × 47"
471,1.34183,"3 × 157"
472,1.90678,"2^3 × 59"
473,1.11628,"11 × 43"
474,2.02532,"2 × 3 × 79"
475,1.30526,"5^2 × 19"
476,2.11765,"2^2 × 7 × 17"
477,1.4717,"3^2 × 53"
478,1.50628,"2 × 239"
479,1.00209,"479"
480,3.15,"2^5 × 3 × 5"
481,1.10603,"13 × 37"
482,1.50622,"2 × 241"
483,1.59006,"3 × 7 × 23"
484,1.92355,"2^2 × 11^2"
485,1.21237,"5 × 97"
486,2.24691,"2 × 3^5"
487,1.00205,"487"
488,1.90574,"2^3 × 61"
489,1.34151,"3 × 163"
490,2.09388,"2 × 5 × 7^2"
491,1.00204,"491"
492,2.39024,"2^2 × 3 × 41"
493,1.09533,"17 × 29"
494,1.7004,"2 × 13 × 19"
495,1.89091,"3^2 × 5 × 11"
496,2,"2^4 × 31"
497,1.15895,"7 × 71"
498,2.0241,"2 × 3 × 83"
499,1.002,"499"
500,2.184,"2^2 × 5^3"
501,1.34132,"3 × 167"
502,1.50598,"2 × 251"
503,1.00199,"503"
504,3.09524,"2^3 × 3^2 × 7"
505,1.21188,"5 × 101"
506,1.70751,"2 × 11 × 23"
507,1.44379,"3 × 13^2"
508,1.76378,"2^2 × 127"
509,1.00196,"509"
510,2.54118,"2 × 3 × 5 × 17"
511,1.15851,"7 × 73"
512,1.99805,"2^9"
513,1.55945,"3^3 × 19"
514,1.50584,"2 × 257"
515,1.21165,"5 × 103"
516,2.3876,"2^2 × 3 × 43"
517,1.11412,"11 × 47"
518,1.76062,"2 × 7 × 37"
519,1.34104,"3 × 173"
520,2.42308,"2^3 × 5 × 13"
521,1.00192,"521"
522,2.24138,"2 × 3^2 × 29"
523,1.00191,"523"
524,1.76336,"2^2 × 131"
525,1.88952,"3 × 5^2 × 7"
526,1.5057,"2 × 263"
527,1.09298,"17 × 31"
528,2.81818,"2^4 × 3 × 11"
529,1.04537,"23^2"
530,1.83396,"2 × 5 × 53"
531,1.46893,"3^2 × 59"
532,2.10526,"2^2 × 7 × 19"
533,1.10319,"13 × 41"
534,2.02247,"2 × 3 × 89"
535,1.21121,"5 × 107"
536,1.90299,"2^3 × 67"
537,1.34078,"3 × 179"
538,1.50558,"2 × 269"
539,1.26902,"7^2 × 11"
540,3.11111,"2^2 × 3^3 × 5"
541,1.00185,"541"
542,1.50554,"2 × 271"
543,1.3407,"3 × 181"
544,2.08456,"2^5 × 17"
545,1.21101,"5 × 109"
546,2.46154,"2 × 3 × 7 × 13"
547,1.00183,"547"
548,1.76277,"2^2 × 137"
549,1.46812,"3^2 × 61"
550,2.02909,"2 × 5^2 × 11"
551,1.08893,"19 × 29"
552,2.6087,"2^3 × 3 × 23"
553,1.15732,"7 × 79"
554,1.50542,"2 × 277"
555,1.64324,"3 × 5 × 37"
556,1.76259,"2^2 × 139"
557,1.0018,"557"
558,2.23656,"2 × 3^2 × 31"
559,1.10197,"13 × 43"
560,2.65714,"2^4 × 5 × 7"
561,1.54011,"3 × 11 × 17"
562,1.50534,"2 × 281"
563,1.00178,"563"
564,2.38298,"2^2 × 3 × 47"
565,1.21062,"5 × 113"
566,1.5053,"2 × 283"
567,1.70723,"3^4 × 7"
568,1.90141,"2^3 × 71"
569,1.00176,"569"
570,2.52632,"2 × 3 × 5 × 19"
571,1.00175,"571"
572,2.05594,"2^2 × 11 × 13"
573,1.34031,"3 × 191"
574,1.7561,"2 × 7 × 41"
575,1.29391,"5^2 × 23"
576,2.86632,"2^6 × 3^2"
577,1.00173,"577"
578,1.59343,"2 × 17^2"
579,1.34024,"3 × 193"
580,2.17241,"2^2 × 5 × 29"
581,1.15663,"7 × 83"
582,2.02062,"2 × 3 × 97"
583,1.11149,"11 × 53"
584,1.90068,"2^3 × 73"
585,1.86667,"3^2 × 5 × 13"
586,1.50512,"2 × 293"
587,1.0017,"587"
588,2.71429,"2^2 × 3 × 7^2"
589,1.08659,"19 × 31"
590,1.83051,"2 × 5 × 59"
591,1.3401,"3 × 197"
592,1.98986,"2^4 × 37"
593,1.00169,"593"
594,2.42424,"2 × 3^3 × 11"
595,1.4521,"5 × 7 × 17"
596,1.76174,"2^2 × 149"
597,1.34003,"3 × 199"
598,1.68562,"2 × 13 × 23"
599,1.00167,"599"
600,3.1,"2^3 × 3 × 5^2"
601,1.00166,"601"
602,1.75415,"2 × 7 × 43"
603,1.466,"3^2 × 67"
604,1.76159,"2^2 × 151"
605,1.31901,"5 × 11^2"
606,2.0198,"2 × 3 × 101"
607,1.00165,"607"
608,2.07237,"2^5 × 19"
609,1.57635,"3 × 7 × 29"
610,1.82951,"2 × 5 × 61"
611,1.09984,"13 × 47"
612,2.67647,"2^2 × 3^2 × 17"
613,1.00163,"613"
614,1.50489,"2 × 307"
