n,sigma_minus_n,factorization
4692,2.57801,"2^2 × 3 × 17 × 23"
4693,1.13659,"13 × 19^2"
4694,1.50064,"2 × 2347"
4695,1.60511,"3 × 5 × 313"
4696,1.87819,"2^3 × 587"
4697,1.26719,"7 × 11 × 61"
4698,2.31801,"2 × 3^4 × 29"
4699,1.03511,"37 × 127"
4700,2.21617,"2^2 × 5^2 × 47"
4701,1.33418,"3 × 1567"
4702,1.50064,"2 × 2351"
4703,1.00021,"4703"
4704,3.05357,"2^5 × 3 × 7^2"
4705,1.20128,"5 × 941"
4706,1.62431,"2 × 13 × 181"
4707,1.44721,"3^2 × 523"
4708,1.92693,"2^2 × 11 × 107"
4709,1.06265,"17 × 277"
4710,2.41529,"2 × 3 × 5 × 157"
4711,1.14456,"7 × 673"
4712,2.03735,"2^3 × 19 × 31"
4713,1.33418,"3 × 1571"
4714,1.50064,"2 × 2357"
4715,1.28271,"5 × 23 × 41"
4716,2.54707,"2^2 × 3^2 × 131"
4717,1.03032,"53 × 89"
4718,1.71937,"2 × 7 × 337"
4719,1.5783,"3 × 11^2 × 13"
4720,2.36441,"2^4 × 5 × 59"
4721,1.00021,"4721"
4722,2.00254,"2 × 3 × 787"
4723,1.00021,"4723"
4724,1.75148,"2^2 × 1181"
4725,2.09947,"3^3 × 5^2 × 7"
4726,1.59966,"2 × 17 × 139"
4727,1.04083,"29 × 163"
4728,2.51269,"2^3 × 3 × 197"
4729,1.00021,"4729"
4730,2.0093,"2 × 5 × 11 × 43"
4731,1.42042,"3 × 19 × 83"
4732,2.16568,"2^2 × 7 × 13^2"
4733,1.00021,"4733"
4734,2.1749,"2 × 3^2 × 263"
4735,1.20127,"5 × 947"
4736,2.04603,"2^7 × 37"
4737,1.33418,"3 × 1579"
4738,1.58041,"2 × 23 × 103"
4739,1.14455,"7 × 677"
4740,2.83544,"2^2 × 3 × 5 × 79"
4741,1.09344,"11 × 431"
4742,1.50063,"2 × 2371"
4743,1.57875,"3^2 × 17 × 31"
4744,1.87816,"2^3 × 593"
4745,1.31001,"5 × 13 × 73"
4746,2.30594,"2 × 3 × 7 × 113"
4747,1.03139,"47 × 101"
4748,1.75147,"2^2 × 1187"
4749,1.33418,"3 × 1583"
4750,1.97053,"2 × 5^3 × 19"
4751,1.00021,"4751"
4752,3.13131,"2^4 × 3^3 × 11"
4753,1.17526,"7^2 × 97"
4754,1.50063,"2 × 2377"
4755,1.60505,"3 × 5 × 317"
4756,1.8545,"2^2 × 29 × 41"
4757,1.02922,"67 × 71"
4758,2.18916,"2 × 3 × 13 × 61"
4759,1.00021,"4759"
4760,2.72269,"2^3 × 5 × 7 × 17"
4761,1.50998,"3^2 × 23^2"
4762,1.50063,"2 × 2381"
4763,1.09343,"11 × 433"
4764,2.33921,"2^2 × 3 × 397"
4765,1.20126,"5 × 953"
4766,1.50063,"2 × 2383"
4767,1.53052,"3 × 7 × 227"
4768,1.98196,"2^5 × 149"
4769,1.05683,"19 × 251"
4770,2.64906,"2 × 3^2 × 5 × 53"
4771,1.07986,"13 × 367"
4772,1.75147,"2^2 × 1193"
4773,1.40122,"3 × 37 × 43"
4774,1.93046,"2 × 7 × 11 × 31"
4775,1.24649,"5^2 × 191"
4776,2.51256,"2^3 × 3 × 199"
4777,1.06259,"17 × 281"
4778,1.50063,"2 × 2389"
4779,1.51915,"3^4 × 59"
4780,2.10879,"2^2 × 5 × 239"
4781,1.14453,"7 × 683"
4782,2.00251,"2 × 3 × 797"
4783,1.00021,"4783"
4784,2.17726,"2^4 × 13 × 23"
4785,1.80564,"3 × 5 × 11 × 29"
4786,1.50063,"2 × 2393"
4787,1.00021,"4787"
4788,3.04094,"2^2 × 3^2 × 7 × 19"
4789,1.00021,"4789"
4790,1.80376,"2 × 5 × 479"
4791,1.33417,"3 × 1597"
4792,1.87813,"2^3 × 599"
4793,1.00021,"4793"
4794,2.1627,"2 × 3 × 17 × 47"
4795,1.38144,"5 × 7 × 137"
4796,1.92661,"2^2 × 11 × 109"
4797,1.5935,"3^2 × 13 × 41"
4798,1.50063,"2 × 2399"
4799,1.00021,"4799"
4800,3.28083,"2^6 × 3 × 5^2"
4801,1.00021,"4801"
4802,1.7499,"2 × 7^4"
4803,1.33417,"3 × 1601"
4804,1.75146,"2^2 × 1201"
4805,1.23996,"5 × 31^2"
4806,2.24719,"2 × 3^3 × 89"
4807,1.19825,"11 × 19 × 23"
4808,1.87812,"2^3 × 601"
4809,1.53046,"3 × 7 × 229"
4810,1.99085,"2 × 5 × 13 × 37"
4811,1.06256,"17 × 283"
4812,2.33915,"2^2 × 3 × 401"
4813,1.00021,"4813"
4814,1.57042,"2 × 29 × 83"
4815,1.74953,"3^2 × 5 × 107"
4816,2.26578,"2^4 × 7 × 43"
4817,1.00021,"4817"
4818,2.21171,"2 × 3 × 11 × 73"
4819,1.02926,"61 × 79"
4820,2.10871,"2^2 × 5 × 241"
4821,1.33416,"3 × 1607"
4822,1.50062,"2 × 2411"
4823,1.25399,"7 × 13 × 53"
4824,2.74876,"2^3 × 3^2 × 67"
4825,1.24642,"5^2 × 193"
4826,1.59138,"2 × 19 × 127"
4827,1.33416,"3 × 1609"
4828,1.87904,"2^2 × 17 × 71"
4829,1.09339,"11 × 439"
4830,2.86211,"2 × 3 × 5 × 7 × 23"
4831,1.00021,"4831"
4832,1.98179,"2^5 × 151"
4833,1.48976,"3^3 × 179"
4834,1.50062,"2 × 2417"
4835,1.20124,"5 × 967"
4836,2.59388,"2^2 × 3 × 13 × 31"
4837,1.14451,"7 × 691"
4838,1.56263,"2 × 41 × 59"
4839,1.33416,"3 × 1613"
4840,2.47314,"2^3 × 5 × 11^2"
4841,1.03119,"47 × 103"
4842,2.17472,"2 × 3^2 × 269"
4843,1.04068,"29 × 167"
4844,2.01156,"2^2 × 7 × 173"
4845,1.78328,"3 × 5 × 17 × 19"
4846,1.50062,"2 × 2423"
4847,1.03487,"37 × 131"
4848,2.60891,"2^4 × 3 × 101"
4849,1.07981,"13 × 373"
4850,1.87918,"2 × 5^2 × 97"
4851,1.83302,"3^2 × 7^2 × 11"
4852,1.75144,"2^2 × 1213"
4853,1.04842,"23 × 211"
4854,2.00247,"2 × 3 × 809"
4855,1.20124,"5 × 971"
4856,1.87809,"2^3 × 607"
4857,1.33416,"3 × 1619"
4858,1.71923,"2 × 7 × 347"
4859,1.03231,"43 × 113"
4860,3.14568,"2^2 × 3^5 × 5"
4861,1.00021,"4861"
4862,1.8659,"2 × 11 × 13 × 17"
4863,1.33416,"3 × 1621"
4864,2.10115,"2^8 × 19"
4865,1.38129,"5 × 7 × 139"
4866,2.00247,"2 × 3 × 811"
4867,1.03883,"31 × 157"
4868,1.75144,"2^2 × 1217"
4869,1.44711,"3^2 × 541"
4870,1.8037,"2 × 5 × 487"
4871,1.00021,"4871"
4872,2.95567,"2^3 × 3 × 7 × 29"
4873,1.09337,"11 × 443"
4874,1.50062,"2 × 2437"
4875,1.792,"3 × 5^3 × 13"
4876,1.86054,"2^2 × 23 × 53"
4877,1.00021,"4877"
4878,2.17466,"2 × 3^2 × 271"
4879,1.2396,"7 × 17 × 41"
4880,2.36311,"2^4 × 5 × 61"
4881,1.33415,"3 × 1627"
4882,1.50061,"2 × 2441"
4883,1.05673,"19 × 257"
4884,2.61425,"2^2 × 3 × 11 × 37"
4885,1.20123,"5 × 977"
4886,1.7192,"2 × 7 × 349"
4887,1.48967,"3^3 × 181"
4888,2.06219,"2^3 × 13 × 47"
4889,1.0002,"4889"
4890,2.41472,"2 × 3 × 5 × 163"
4891,1.02883,"67 × 73"
4892,1.75143,"2^2 × 1223"
4893,1.53035,"3 × 7 × 233"
4894,1.50061,"2 × 2447"
4895,1.3238,"5 × 11 × 89"
4896,3.01103,"2^5 × 3^2 × 17"
4897,1.0292,"59 × 83"
4898,1.56799,"2 × 31 × 79"
4899,1.4109,"3 × 23 × 71"
4900,2.52429,"2^2 × 5^2 × 7^2"
4901,1.12018,"13^2 × 29"
4902,2.15422,"2 × 3 × 19 × 43"
4903,1.0002,"4903"
4904,1.87806,"2^3 × 613"
4905,1.74924,"3^2 × 5 × 109"
4906,1.6437,"2 × 11 × 223"
4907,1.14449,"7 × 701"
4908,2.33904,"2^2 × 3 × 409"
4909,1.0002,"4909"
4910,1.80367,"2 × 5 × 491"
4911,1.33415,"3 × 1637"
4912,1.94381,"2^4 × 307"
4913,1.06249,"17^3"
4914,2.73504,"2 × 3^3 × 7 × 13"
4915,1.20122,"5 × 983"
4916,1.75142,"2^2 × 1229"
4917,1.46431,"3 × 11 × 149"
4918,1.50061,"2 × 2459"
4919,1.0002,"4919"
4920,3.07317,"2^3 × 3 × 5 × 41"
4921,1.23552,"7 × 19 × 37"
4922,1.57985,"2 × 23 × 107"
4923,1.44709,"3^2 × 547"
4924,1.75142,"2^2 × 1231"
4925,1.24629,"5^2 × 197"
4926,2.00244,"2 × 3 × 821"
4927,1.07976,"13 × 379"
4928,2.47403,"2^6 × 7 × 11"
4929,1.40231,"3 × 31 × 53"
4930,1.9716,"2 × 5 × 17 × 29"
4931,1.0002,"4931"
4932,2.54623,"2^2 × 3^2 × 137"
4933,1.0002,"4933"
4934,1.50061,"2 × 2467"
4935,1.86748,"3 × 5 × 7 × 47"
4936,1.87804,"2^3 × 617"
4937,1.0002,"4937"
4938,2.00243,"2 × 3 × 823"
4939,1.09334,"11 × 449"
4940,2.38057,"2^2 × 5 × 13 × 19"
4941,1.51832,"3^4 × 61"
4942,1.71914,"2 × 7 × 353"
4943,1.0002,"4943"
4944,2.60841,"2^4 × 3 × 103"
4945,1.28129,"5 × 23 × 43"
4946,1.50061,"2 × 2473"
4947,1.42632,"3 × 17 × 97"
4948,1.75141,"2^2 × 1237"
4949,1.17478,"7^2 × 101"
4950,2.93091,"2 × 3^2 × 5^2 × 11"
4951,1.0002,"4951"
4952,1.87803,"2^3 × 619"
4953,1.4472,"3 × 13 × 127"
4954,1.50061,"2 × 2477"
4955,1.20121,"5 × 991"
4956,2.71186,"2^2 × 3 × 7 × 59"
4957,1.0002,"4957"
4958,1.56353,"2 × 37 × 67"
4959,1.5729,"3^2 × 19 × 29"
4960,2.43871,"2^5 × 5 × 31"
4961,1.12598,"11^2 × 41"
4962,2.00242,"2 × 3 × 827"
4963,1.14447,"7 × 709"
4964,1.87832,"2^2 × 17 × 73"
4965,1.60483,"3 × 5 × 331"
4966,1.62384,"2 × 13 × 191"
4967,1.0002,"4967"
4968,2.89855,"2^3 × 3^3 × 23"
4969,1.0002,"4969"
4970,2.08612,"2 × 5 × 7 × 71"
4971,1.33414,"3 × 1657"
4972,1.92599,"2^2 × 11 × 113"
4973,1.0002,"4973"
4974,2.00241,"2 × 3 × 829"
4975,1.24623,"5^2 × 199"
4976,1.94373,"2^4 × 311"
4977,1.67169,"3^2 × 7 × 79"
4978,1.591,"2 × 19 × 131"
4979,1.07973,"13 × 383"
4980,2.83373,"2^2 × 3 × 5 × 83"
4981,1.06244,"17 × 293"
4982,1.56082,"2 × 47 × 53"
4983,1.46418,"3 × 11 × 151"
4984,2.16693,"2^3 × 7 × 89"
4985,1.2012,"5 × 997"
4986,2.17449,"2 × 3^2 × 277"
4987,1.0002,"4987"
4988,1.85245,"2^2 × 29 × 43"
4989,1.33414,"3 × 1663"
4990,1.80361,"2 × 5 × 499"
4991,1.23102,"7 × 23 × 31"
4992,2.86058,"2^7 × 3 × 13"
4993,1.0002,"4993"
4994,1.64357,"2 × 11 × 227"
4995,1.82583,"3^3 × 5 × 37"
4996,1.7514,"2^2 × 1249"
4997,1.05663,"19 × 263"
4998,2.46339,"2 × 3 × 7^2 × 17"
4999,1.0002,"4999"
5000,2.343,"2^3 × 5^4"
5001,1.33413,"3 × 1667"
5002,1.56178,"2 × 41 × 61"
5003,1.0002,"5003"
5004,2.54596,"2^2 × 3^2 × 139"
5005,1.61119,"5 × 7 × 11 × 13"
5006,1.5006,"2 × 2503"
5007,1.33413,"3 × 1669"
5008,1.94369,"2^4 × 313"
5009,1.0002,"5009"
5010,2.41437,"2 × 3 × 5 × 167"
5011,1.0002,"5011"
5012,2.01117,"2^2 × 7 × 179"
5013,1.44704,"3^2 × 557"
5014,1.57958,"2 × 23 × 109"
5015,1.29212,"5 × 17 × 59"
5016,2.87081,"2^3 × 3 × 11 × 19"
5017,1.04046,"29 × 173"
5018,1.62375,"2 × 13 × 193"
5019,1.53019,"3 × 7 × 239"
5020,2.10837,"2^2 × 5 × 251"
5021,1.0002,"5021"
5022,2.31302,"2 × 3^4 × 31"
5023,1.0002,"5023"
5024,1.98129,"2^5 × 157"
5025,1.67801,"3 × 5^2 × 67"
5026,1.71906,"2 × 7 × 359"
5027,1.0933,"11 × 457"
5028,2.3389,"2^2 × 3 × 419"
5029,1.03082,"47 × 107"
5030,1.80358,"2 × 5 × 503"
5031,1.59173,"3^2 × 13 × 43"
5032,2.03895,"2^3 × 17 × 37"
5033,1.14445,"7 × 719"
5034,2.00238,"2 × 3 × 839"
5035,1.28699,"5 × 19 × 53"
5036,1.75139,"2^2 × 1259"
5037,1.41036,"3 × 23 × 73"
5038,1.64351,"2 × 11 × 229"
5039,1.0002,"5039"
5040,3.8381,"2^4 × 3^2 × 5 × 7"
5041,1.01428,"71^2"
5042,1.5006,"2 × 2521"
5043,1.36665,"3 × 41^2"
5044,1.90404,"2^2 × 13 × 97"
5045,1.20119,"5 × 1009"
5046,2.07134,"2 × 3 × 29^2"
5047,1.17456,"7^2 × 103"
5048,1.87797,"2^3 × 631"
5049,1.71123,"3^3 × 11 × 17"
5050,1.87842,"2 × 5^2 × 101"
5051,1.0002,"5051"
5052,2.33888,"2^2 × 3 × 421"
5053,1.03859,"31 × 163"
5054,1.80926,"2 × 7 × 19^2"
5055,1.60475,"3 × 5 × 337"
5056,2.00949,"2^6 × 79"
5057,1.07969,"13 × 389"
5058,2.17438,"2 × 3^2 × 281"
5059,1.0002,"5059"
5060,2.39051,"2^2 × 5 × 11 × 23"
5061,1.53013,"3 × 7 × 241"
5062,1.50059,"2 × 2531"
5063,1.02864,"61 × 83"
5064,2.51185,"2^3 × 3 × 211"
5065,1.20118,"5 × 1013"
5066,1.59889,"2 × 17 × 149"
5067,1.44701,"3^2 × 563"
5068,2.01105,"2^2 × 7 × 181"
5069,1.03452,"37 × 137"
5070,2.59882,"2 × 3 × 5 × 13^2"
5071,1.09328,"11 × 461"
5072,1.94361,"2^4 × 317"
5073,1.41928,"3 × 19 × 89"
5074,1.5609,"2 × 43 × 59"
5075,1.46601,"5^2 × 7 × 29"
5076,2.64775,"2^2 × 3^3 × 47"
5077,1.0002,"5077"
5078,1.50059,"2 × 2539"
5079,1.33412,"3 × 1693"
5080,2.26772,"2^3 × 5 × 127"
5081,1.0002,"5081"
5082,2.5124,"2 × 3 × 7 × 11^2"
5083,1.18985,"13 × 17 × 23"
5084,1.85051,"2^2 × 31 × 41"
5085,1.74867,"3^2 × 5 × 113"
5086,1.50059,"2 × 2543"
5087,1.0002,"5087"
5088,2.67453,"2^5 × 3 × 53"
5089,1.14443,"7 × 727"
5090,1.80354,"2 × 5 × 509"
5091,1.33412,"3 × 1697"
5092,1.8696,"2^2 × 19 × 67"
5093,1.09327,"11 × 463"
5094,2.17432,"2 × 3^2 × 283"
5095,1.20118,"5 × 1019"
5096,2.3489,"2^3 × 7^2 × 13"
5097,1.33412,"3 × 1699"
5098,1.50059,"2 × 2549"
5099,1.0002,"5099"
5100,3.06353,"2^2 × 3 × 5^2 × 17"
5101,1.0002,"5101"
5102,1.50059,"2 × 2551"
5103,1.7135,"3^6 × 7"
5104,2.18652,"2^4 × 11 × 29"
5105,1.20118,"5 × 1021"
5106,2.14336,"2 × 3 × 23 × 37"
5107,1.0002,"5107"
5108,1.75137,"2^2 × 1277"
5109,1.44686,"3 × 13 × 131"
5110,2.08532,"2 × 5 × 7 × 73"
5111,1.05654,"19 × 269"
5112,2.74648,"2^3 × 3^2 × 71"
5113,1.0002,"5113"
5114,1.50059,"2 × 2557"
5115,1.80176,"3 × 5 × 11 × 31"
5116,1.75137,"2^2 × 1279"
5117,1.23823,"7 × 17 × 43"
5118,2.00234,"2 × 3 × 853"
5119,1.0002,"5119"
5120,2.39883,"2^10 × 5"
5121,1.44698,"3^2 × 569"
5122,1.62358,"2 × 13 × 197"
5123,1.03065,"47 × 109"
5124,2.71038,"2^2 × 3 × 7 × 61"
5125,1.27844,"5^3 × 41"
5126,1.64339,"2 × 11 × 233"
5127,1.33411,"3 × 1709"
5128,1.87793,"2^3 × 641"
5129,1.04816,"23 × 223"
5130,2.80702,"2 × 3^3 × 5 × 19"
5131,1.14442,"7 × 733"
5132,1.75136,"2^2 × 1283"
5133,1.40269,"3 × 29 × 59"
5134,1.59875,"2 × 17 × 151"
5135,1.30867,"5 × 13 × 79"
5136,2.60748,"2^4 × 3 × 107"
5137,1.09325,"11 × 467"
5138,1.71896,"2 × 7 × 367"
5139,1.44697,"3^2 × 571"
5140,2.10817,"2^2 × 5 × 257"
5141,1.02937,"53 × 97"
5142,2.00233,"2 × 3 × 857"
5143,1.03442,"37 × 139"
5144,1.87792,"2^3 × 643"
5145,1.86589,"3 × 5 × 7^3"
5146,1.56704,"2 × 31 × 83"
5147,1.00019,"5147"
5148,2.9697,"2^2 × 3^2 × 11 × 13"
5149,1.05652,"19 × 271"
5150,1.87806,"2 × 5^2 × 103"
5151,1.42574,"3 × 17 × 101"
5152,2.34783,"2^5 × 7 × 23"
5153,1.00019,"5153"
5154,2.00233,"2 × 3 × 859"
5155,1.20116,"5 × 1031"
5156,1.75136,"2^2 × 1289"
5157,1.48924,"3^3 × 191"
5158,1.50058,"2 × 2579"
5159,1.26536,"7 × 11 × 67"
5160,3.06977,"2^3 × 3 × 5 × 43"
5161,1.07964,"13 × 397"
5162,1.56916,"2 × 29 × 89"
5163,1.33411,"3 × 1721"
5164,1.75136,"2^2 × 1291"
5165,1.20116,"5 × 1033"
5166,2.53659,"2 × 3^2 × 7 × 41"
5167,1.00019,"5167"
5168,2.15944,"2^4 × 17 × 19"
5169,1.33411,"3 × 1723"
5170,2.00542,"2 × 5 × 11 × 47"
5171,1.00019,"5171"
5172,2.33875,"2^2 × 3 × 431"
5173,1.1444,"7 × 739"
5174,1.6235,"2 × 13 × 199"
5175,1.86899,"3^2 × 5^2 × 23"
5176,1.8779,"2^3 × 647"
5177,1.03844,"31 × 167"
5178,2.00232,"2 × 3 × 863"
5179,1.00019,"5179"
5180,2.46486,"2^2 × 5 × 7 × 37"
5181,1.46381,"3 × 11 × 157"
5182,1.50058,"2 × 2591"
5183,1.02798,"71 × 73"
5184,2.96431,"2^6 × 3^4"
5185,1.29142,"5 × 17 × 61"
5186,1.50058,"2 × 2593"
5187,1.7274,"3 × 7 × 13 × 19"
5188,1.75135,"2^2 × 1297"
5189,1.00019,"5189"
5190,2.41387,"2 × 3 × 5 × 173"
5191,1.04026,"29 × 179"
5192,2.08012,"2^3 × 11 × 59"
5193,1.44695,"3^2 × 577"
5194,1.77782,"2 × 7^2 × 53"
5195,1.20115,"5 × 1039"
5196,2.33872,"2^2 × 3 × 433"
5197,1.00019,"5197"
5198,1.57907,"2 × 23 × 113"
5199,1.3341,"3 × 1733"
5200,2.58731,"2^4 × 5^2 × 13"
5201,1.1444,"7 × 743"
5202,2.30161,"2 × 3^2 × 17^2"
5203,1.12474,"11^2 × 43"
5204,1.75135,"2^2 × 1301"
5205,1.60461,"3 × 5 × 347"
5206,1.59047,"2 × 19 × 137"
5207,1.03246,"41 × 127"
5208,2.94931,"2^3 × 3 × 7 × 31"
5209,1.00019,"5209"
5210,1.80345,"2 × 5 × 521"
5211,1.48916,"3^3 × 193"
5212,1.75134,"2^2 × 1303"
5213,1.07961,"13 × 401"
5214,2.20944,"2 × 3 × 11 × 79"
5215,1.38063,"5 × 7 × 149"
5216,1.98083,"2^5 × 163"
5217,1.3985,"3 × 37 × 47"
5218,1.50057,"2 × 2609"
5219,1.06227,"17 × 307"
5220,3.13793,"2^2 × 3^2 × 5 × 29"
5221,1.04808,"23 × 227"
5222,1.71888,"2 × 7 × 373"
5223,1.3341,"3 × 1741"
5224,1.87787,"2^3 × 653"
5225,1.42392,"5^2 × 11 × 19"
5226,2.18599,"2 × 3 × 13 × 67"
5227,1.00019,"5227"
5228,1.75134,"2^2 × 1307"
5229,1.67068,"3^2 × 7 × 83"
5230,1.80344,"2 × 5 × 523"
5231,1.00019,"5231"
5232,2.60703,"2^4 × 3 × 109"
5233,1.00019,"5233"
5234,1.50057,"2 × 2617"
5235,1.60458,"3 × 5 × 349"
5236,2.31016,"2^2 × 7 × 11 × 17"
5237,1.00019,"5237"
5238,2.24513,"2 × 3^3 × 97"
5239,1.11777,"13^2 × 31"
5240,2.26718,"2^3 × 5 × 131"
5241,1.3341,"3 × 1747"
5242,1.50057,"2 × 2621"
5243,1.17414,"7^2 × 107"
5244,2.56293,"2^2 × 3 × 19 × 23"
5245,1.20114,"5 × 1049"
5246,1.56005,"2 × 43 × 61"
5247,1.60549,"3^2 × 11 × 53"
5248,2.04078,"2^7 × 41"
5249,1.0402,"29 × 181"
5250,2.85257,"2 × 3 × 5^3 × 7"
5251,1.02838,"59 × 89"
5252,1.90327,"2^2 × 13 × 101"
5253,1.42547,"3 × 17 × 103"
5254,1.56224,"2 × 37 × 71"
5255,1.20114,"5 × 1051"
5256,2.74543,"2^3 × 3^2 × 73"
5257,1.14438,"7 × 751"
5258,1.64321,"2 × 11 × 239"
5259,1.33409,"3 × 1753"
5260,2.10798,"2^2 × 5 × 263"
5261,1.00019,"5261"
5262,2.00228,"2 × 3 × 877"
5263,1.05643,"19 × 277"
5264,2.2614,"2^4 × 7 × 47"
5265,1.93048,"3^4 × 5 × 13"
5266,1.50057,"2 × 2633"
5267,1.04803,"23 × 229"
5268,2.33865,"2^2 × 3 × 439"
5269,1.09319,"11 × 479"
5270,1.96736,"2 × 5 × 17 × 31"
5271,1.52988,"3 × 7 × 251"
5272,1.87785,"2^3 × 659"
5273,1.00019,"5273"
5274,2.17406,"2 × 3^2 × 293"
5275,1.24588,"5^2 × 211"
5276,1.75133,"2^2 × 1319"
5277,1.33409,"3 × 1759"
5278,1.90981,"2 × 7 × 13 × 29"
5279,1.00019,"5279"
5280,3.43636,"2^5 × 3 × 5 × 11"
5281,1.00019,"5281"
5282,1.59031,"2 × 19 × 139"
5283,1.44691,"3^2 × 587"
5284,1.75132,"2^2 × 1321"
5285,1.38051,"5 × 7 × 151"
5286,2.00227,"2 × 3 × 881"
5287,1.06223,"17 × 311"
5288,1.87784,"2^3 × 661"
5289,1.39762,"3 × 41 × 43"
5290,1.88166,"2 × 5 × 23^2"
5291,1.20658,"11 × 13 × 37"
5292,3.01587,"2^2 × 3^3 × 7^2"
5293,1.02777,"67 × 79"
5294,1.50057,"2 × 2647"
5295,1.60453,"3 × 5 × 353"
5296,1.94335,"2^4 × 331"
5297,1.00019,"5297"
5298,2.00227,"2 × 3 × 883"
5299,1.14437,"7 × 757"
5300,2.21094,"2^2 × 5^2 × 53"
5301,1.56952,"3^2 × 19 × 31"
5302,1.64315,"2 × 11 × 241"
5303,1.00019,"5303"
5304,2.85068,"2^3 × 3 × 13 × 17"
5305,1.20113,"5 × 1061"
5306,1.71881,"2 × 7 × 379"
5307,1.40192,"3 × 29 × 61"
5308,1.75132,"2^2 × 1327"
5309,1.00019,"5309"
5310,2.64407,"2 × 3^2 × 5 × 59"
5311,1.03031,"47 × 113"
5312,2.00828,"2^6 × 83"
5313,1.73461,"3 × 7 × 11 × 23"
5314,1.50056,"2 × 2657"
5315,1.20113,"5 × 1063"
5316,2.3386,"2^2 × 3 × 443"
5317,1.07956,"13 × 409"
5318,1.50056,"2 × 2659"
5319,1.489,"3^3 × 197"
5320,2.70677,"2^3 × 5 × 7 × 19"
5321,1.06221,"17 × 313"
5322,2.00225,"2 × 3 × 887"
5323,1.00019,"5323"
5324,1.92487,"2^2 × 11^3"
5325,1.67662,"3 × 5^2 × 71"
5326,1.50056,"2 × 2663"
5327,1.14436,"7 × 761"
5328,2.87425,"2^4 × 3^2 × 37"
5329,1.01389,"73^2"
5330,1.98574,"2 × 5 × 13 × 41"
5331,1.33408,"3 × 1777"
5332,1.84846,"2^2 × 31 × 43"
5333,1.00019,"5333"
5334,2.30371,"2 × 3 × 7 × 127"
5335,1.32259,"5 × 11 × 97"
5336,2.02399,"2^3 × 23 × 29"
5337,1.44688,"3^2 × 593"
5338,1.59835,"2 × 17 × 157"
5339,1.05638,"19 × 281"
5340,2.83146,"2^2 × 3 × 5 × 89"
5341,1.17394,"7^2 × 109"
5342,1.50056,"2 × 2671"
5343,1.44638,"3 × 13 × 137"
5344,1.98054,"2^5 × 167"
5345,1.20112,"5 × 1069"
5346,2.45118,"2 × 3^5 × 11"
5347,1.00019,"5347"
5348,2.01047,"2^2 × 7 × 191"
5349,1.33408,"3 × 1783"
5350,1.87738,"2 × 5^2 × 107"
5351,1.00019,"5351"
5352,2.51121,"2^3 × 3 × 223"
5353,1.02896,"53 × 101"
5354,1.50056,"2 × 2677"
5355,2.09748,"3^2 × 5 × 7 × 17"
5356,1.90291,"2^2 × 13 × 103"
5357,1.09315,"11 × 487"
5358,2.15006,"2 × 3 × 19 × 47"
5359,1.04796,"23 × 233"
5360,2.3597,"2^4 × 5 × 67"
5361,1.33408,"3 × 1787"
5362,1.71876,"2 × 7 × 383"
5363,1.03822,"31 × 173"
5364,2.54474,"2^2 × 3^2 × 149"
5365,1.27493,"5 × 29 × 37"
5366,1.50056,"2 × 2683"
5367,1.33408,"3 × 1789"
5368,2.07899,"2^3 × 11 × 61"
5369,1.25163,"7 × 13 × 59"
5370,2.41341,"2 × 3 × 5 × 179"
5371,1.03221,"41 × 131"
5372,1.8764,"2^2 × 17 × 79"
5373,1.48893,"3^3 × 199"
5374,1.50056,"2 × 2687"
5375,1.27702,"5^3 × 43"
5376,3.04167,"2^8 × 3 × 7"
5377,1.05635,"19 × 283"
5378,1.50056,"2 × 2689"
5379,1.46347,"3 × 11 × 163"
5380,2.10781,"2^2 × 5 × 269"
5381,1.00019,"5381"
5382,2.43478,"2 × 3^2 × 13 × 23"
5383,1.14434,"7 × 769"
5384,1.87779,"2^3 × 673"
5385,1.60446,"3 × 5 × 359"
5386,1.50056,"2 × 2693"
5387,1.00019,"5387"
5388,2.33853,"2^2 × 3 × 449"
5389,1.06216,"17 × 317"
5390,2.28423,"2 × 5 × 7^2 × 11"
5391,1.44686,"3^2 × 599"
5392,1.94325,"2^4 × 337"
5393,1.00019,"5393"
5394,2.13571,"2 × 3 × 29 × 31"
5395,1.30788,"5 × 13 × 83"
5396,1.86805,"2^2 × 19 × 71"
5397,1.52974,"3 × 7 × 257"
5398,1.50056,"2 × 2699"
5399,1.00019,"5399"
5400,3.44444,"2^3 × 3^3 × 5^2"
5401,1.09313,"11 × 491"
5402,1.56164,"2 × 37 × 73"
5403,1.33407,"3 × 1801"
5404,2.01036,"2^2 × 7 × 193"
5405,1.27882,"5 × 23 × 47"
5406,2.1576,"2 × 3 × 17 × 53"
5407,1.00018,"5407"
5408,2.13184,"2^5 × 13^2"
5409,1.44685,"3^2 × 601"
5410,1.80333,"2 × 5 × 541"
5411,1.14434,"7 × 773"
5412,2.60754,"2^2 × 3 × 11 × 41"
5413,1.00018,"5413"
5414,1.50055,"2 × 2707"
5415,1.68864,"3 × 5 × 19^2"
5416,1.87777,"2^3 × 677"
5417,1.00018,"5417"
5418,2.53378,"2 × 3^2 × 7 × 43"
5419,1.00018,"5419"
5420,2.10775,"2^2 × 5 × 271"
5421,1.44623,"3 × 13 × 139"
5422,1.50055,"2 × 2711"
5423,1.19491,"11 × 17 × 29"
5424,2.60619,"2^4 × 3 × 113"
